MatchId,Patch,QueueType,RankFk,GameDuration
EUW1_7577352196,15.21.720.925,CHERRY,5,1432
KR_8032559872,16.1.737.4870,ARAM,0,1023
EUW1_7570631258,15.20.719.545,ARAM,8,1389
KR_8034919495,16.1.737.4870,ARAM,0,1447
NA1_5426922863,15.23.728.3286,CLASSIC,7,1075
KR_8034679030,16.1.737.4870,CLASSIC,0,2440
EUW1_7562225120,15.20.717.2831,CHERRY,6,1434
KR_7883118576,15.21.721.4012,CLASSIC,4,2069
KR_8006587642,15.24.734.7485,ARAM,0,1511
KR_8037322636,16.1.737.4870,CLASSIC,0,1419
KR_8018045635,16.1.737.1049,ARAM,0,853
KR_8012467125,15.24.734.7485,CLASSIC,0,1420
KR_8014486050,15.24.734.7485,CLASSIC,0,2511
KR_8007855550,15.24.734.7485,ARAM,0,1123
NA1_5416322809,15.22.724.5161,CLASSIC,7,1721
EUW1_7600020082,15.22.724.5161,CLASSIC,6,1679
NA1_5420061373,15.23.728.3286,SWIFTPLAY,0,951
KR_8000713177,15.24.734.7485,ARAM,0,1663
KR_8020120792,16.1.737.4870,ARAM,0,534
NA1_5421880586,15.23.728.3286,CLASSIC,8,1982
EUW1_7572631339,15.20.719.545,CLASSIC,8,1785
KR_7993986392,15.24.734.7485,CLASSIC,0,2004
NA1_5438920835,15.24.733.5841,CLASSIC,6,1671
KR_8035516085,16.1.737.4870,CLASSIC,3,2371
KR_8033707526,16.1.737.4870,ARAM,0,851
NA1_5438761240,15.24.732.64,CHERRY,0,1487
EUW1_7565733955,15.20.717.2831,CLASSIC,7,1472
NA1_5436081213,15.24.732.64,CLASSIC,8,1835
EUW1_7598209369,15.22.724.5161,CLASSIC,6,1703
EUW1_7562124959,15.20.717.2831,CLASSIC,5,2921
KR_8030572804,16.1.737.4870,ARAM,0,227
EUW1_7573433486,15.20.719.545,CHERRY,0,1295
NA1_5440438292,15.24.733.6673,CLASSIC,8,1458
NA1_5429583760,15.24.731.5210,CLASSIC,7,2180
KR_7977550181,15.24.734.7485,CLASSIC,0,1869
NA1_5438611550,15.24.732.64,ARAM,5,103
NA1_5424790318,15.23.728.3286,CLASSIC,3,1723
NA1_5437968891,15.24.732.64,CHERRY,7,1551
KR_7977115251,15.24.734.7485,CLASSIC,2,2343
EUW1_7572045185,15.20.719.545,CLASSIC,8,1619
NA1_5422474613,15.23.728.3286,CLASSIC,8,1145
EUW1_7601545904,15.22.724.5161,CLASSIC,8,1994
KR_8000059658,15.24.734.7485,CLASSIC,2,1315
NA1_5398154521,15.20.719.545,ARAM,0,1026
KR_8033239343,16.1.737.4870,ARAM,0,839
EUW1_7606365859,15.22.724.5161,CLASSIC,6,1720
EUW1_7573160922,15.20.719.545,ARAM,8,1286
EUW1_7565859703,15.20.717.2831,CLASSIC,8,1655
NA1_5431270661,15.24.731.5210,ARAM,0,822
KR_8035869080,16.1.737.4870,ARAM,0,810
KR_8027449483,16.1.737.4870,CLASSIC,0,1305
EUW1_7566081838,15.20.717.2831,ARAM,3,820
KR_8035434671,16.1.737.4870,ARAM,0,1363
KR_8011380836,15.24.734.7485,ARAM,3,897
NA1_5415619471,15.22.724.5161,CLASSIC,3,963
KR_8007917803,15.24.734.7485,ARAM,0,1059
KR_8022385275,16.1.737.4870,CLASSIC,0,2277
NA1_5430588938,15.24.731.5210,CLASSIC,8,934
NA1_5453084422,15.24.734.7485,CLASSIC,3,128
EUW1_7569116126,15.20.719.545,CHERRY,0,1598
NA1_5436432837,15.24.732.64,CLASSIC,0,124
NA1_5438288042,15.24.732.64,CLASSIC,8,2758
KR_8009787588,15.24.734.7485,ARAM,2,779
KR_8036919866,16.1.737.4870,CLASSIC,5,1583
KR_8008208757,15.24.734.7485,CLASSIC,3,920
NA1_5420704299,15.23.728.3286,CLASSIC,2,2560
EUW1_7573047854,15.20.719.545,CLASSIC,8,1958
KR_7628771092,15.9.678.1456,CLASSIC,0,1833
EUW1_7611285816,15.23.726.9074,CHERRY,2,1455
NA1_5423052120,15.23.728.3286,CLASSIC,8,1464
KR_8034977463,16.1.737.4870,CLASSIC,0,1568
NA1_5438953322,15.24.733.5841,CLASSIC,7,1757
KR_8015094940,16.1.734.5787,ARAM,0,1656
NA1_5438595781,15.24.732.64,CLASSIC,8,1478
KR_8027478554,16.1.737.4870,ARAM,0,1438
NA1_5395605612,15.20.719.545,ARAM,0,1149
NA1_5402942848,15.21.721.8442,CLASSIC,4,2012
KR_8027066827,16.1.737.4870,CLASSIC,6,1420
NA1_5422510382,15.23.728.3286,ARAM,4,992
KR_8038611854,16.1.737.4870,CLASSIC,0,1596
NA1_5428802814,15.24.730.7955,CLASSIC,7,2364
EUW1_7003867122,14.13.598.9749,CLASSIC,0,1670
KR_8005086878,15.24.734.7485,CLASSIC,0,988
EUW1_7581268405,15.21.721.8442,CLASSIC,4,1650
EUW1_7150808592,14.20.623.6777,ULTBOOK,0,1588
KR_8029877906,16.1.737.4870,CLASSIC,6,2002
KR_7968054135,15.24.732.64,ARAM,0,915
EUW1_7573720946,15.20.719.545,CLASSIC,8,1453
NA1_5426139828,15.23.728.3286,CLASSIC,3,2055
EUW1_7570076226,15.20.719.545,CLASSIC,9,1407
NA1_5425900299,15.23.728.3286,ARAM,0,1948
NA1_5417265847,15.23.726.9074,CLASSIC,5,1111
EUW1_7602431617,15.22.724.5161,CLASSIC,6,1825
KR_8036736077,16.1.737.4870,CLASSIC,0,1970
NA1_5450599564,15.24.734.7485,CLASSIC,8,1622
NA1_5403086872,15.21.721.8442,CLASSIC,8,1599
KR_7987876104,15.24.734.7485,ARAM,0,849
KR_7993015592,15.24.734.7485,CLASSIC,0,1857
KR_7983047600,15.24.734.7485,CLASSIC,2,1604
EUW1_7570008684,15.20.719.545,CLASSIC,6,1904
EUW1_7570644236,15.20.719.545,CLASSIC,8,380
EUW1_7435240455,15.12.688.6522,ARAM,0,948
NA1_5416079385,15.22.724.5161,CLASSIC,4,2479
NA1_5437271060,15.24.732.64,ARAM,3,1577
EUW1_7570818966,15.20.719.545,CLASSIC,8,1778
KR_8017148147,16.1.737.1049,SWIFTPLAY,0,1369
NA1_5452385355,15.24.734.7485,CLASSIC,8,1753
KR_8003905129,15.24.734.7485,ARAM,0,1002
NA1_5421054143,15.23.728.3286,CLASSIC,8,1915
KR_8037540134,16.1.737.4870,ARAM,0,1063
KR_8008071160,15.24.734.7485,CLASSIC,0,1817
EUW1_7002278920,14.13.598.9749,CLASSIC,0,611
KR_8011590836,15.24.734.7485,CLASSIC,0,955
EUW1_7571367794,15.20.719.545,CLASSIC,8,1483
KR_8014128094,15.24.734.7485,CLASSIC,0,1904
KR_8023133034,16.1.737.4870,CLASSIC,0,1082
KR_8033315484,16.1.737.4870,CLASSIC,0,1814
EUW1_7600345329,15.22.724.5161,CLASSIC,6,2400
EUW1_7239562688,14.24.644.2327,CLASSIC,5,1478
NA1_5428102857,15.24.730.7955,CLASSIC,7,1691
EUW1_7571693767,15.20.719.545,ARAM,0,1259
NA1_5421715145,15.23.728.3286,CLASSIC,7,639
KR_8013429770,15.24.734.7485,CLASSIC,0,2019
KR_7984629245,15.24.734.7485,ARAM,0,1410
NA1_5418470565,15.23.726.9074,CLASSIC,5,2316
KR_8011445599,15.24.734.7485,CLASSIC,0,1841
KR_7980141491,15.24.734.7485,CLASSIC,0,2253
KR_8004508757,15.24.734.7485,CLASSIC,0,1771
EUW1_7563173668,15.20.717.2831,CLASSIC,2,2274
