SummonerMatchId,SummonerFk,MatchFk,ChampionFk
128634,4507,EUW1_7569500912,202
128637,4507,EUW1_7553017062,99
128641,4507,EUW1_7529012063,121
128642,4507,EUW1_7528412344,203
128646,4507,EUW1_7519637974,64
128668,4508,EUW1_7606804550,30
128672,4508,EUW1_7601960257,120
128681,4508,EUW1_7600021670,120
128684,4508,EUW1_7599226369,234
128685,4508,EUW1_7599169264,120
128706,4509,EUW1_7605881007,115
128709,4509,EUW1_7603981327,115
128714,4509,EUW1_7601665419,86
128716,4509,EUW1_7601012137,110
128719,4509,EUW1_7600944005,115
128722,4509,EUW1_7598919236,115
128724,4509,EUW1_7598805815,222
128740,4510,EUW1_7603757474,92
128745,4510,EUW1_7603119123,72
128759,4510,EUW1_7600051214,54
128781,4511,EUW1_7603300485,19
128782,4511,EUW1_7603241244,19
128789,4511,EUW1_7601537847,107
128792,4511,EUW1_7600981096,19
128796,4511,EUW1_7599192756,412
128819,4512,EUW1_7607263016,43
128824,4512,EUW1_7606947796,517
128825,4512,EUW1_7606932804,25
128826,4512,EUW1_7606715685,800
128830,4512,EUW1_7606518111,90
128832,4512,EUW1_7606305449,517
128837,4512,EUW1_7605352348,90
128864,4513,EUW1_7605749934,102
128869,4513,EUW1_7604401017,68
128873,4513,EUW1_7603723223,28
128875,4513,EUW1_7599399632,28
128877,4513,EUW1_7599258944,36
128882,4514,EUW1_7606104828,117
128883,4514,EUW1_7605033067,412
128885,4514,EUW1_7604781231,111
128888,4514,EUW1_7603436571,111
128890,4514,EUW1_7602413677,412
128930,4515,EUW1_7601308695,92
128931,4515,EUW1_7600667156,800
128959,4516,EUW1_7607054953,21
128970,4516,EUW1_7604062741,222
129000,4517,EUW1_7607071477,145
129009,4517,EUW1_7604862522,145
129013,4517,EUW1_7604639939,145
129015,4517,EUW1_7604530461,145
129039,4518,EUW1_7607084757,131
129042,4518,EUW1_7606994158,131
129044,4518,EUW1_7606952512,131
129049,4518,EUW1_7605092867,131
129056,4518,EUW1_7603145614,131
129057,4518,EUW1_7603127539,131
129080,4519,EUW1_7607254538,24
129083,4519,EUW1_7605610438,24
129086,4519,EUW1_7605046966,901
129091,4519,EUW1_7603997258,157
129093,4519,EUW1_7603710904,268
129122,4520,EUW1_7605863205,51
129125,4520,EUW1_7603223299,51
129128,4520,EUW1_7603090287,895
129131,4520,EUW1_7602245131,498
129132,4520,EUW1_7602204595,498
129157,4521,EUW1_7607279571,107
129158,4521,EUW1_7606570979,107
129163,4521,EUW1_7606241689,107
129166,4521,EUW1_7604557638,107
129168,4521,EUW1_7604476654,107
129169,4521,EUW1_7604077573,107
129172,4521,EUW1_7603911842,107
129196,4522,EUW1_7603223239,103
129199,4522,EUW1_7603137765,103
129200,4522,EUW1_7602705501,910
129204,4522,EUW1_7601113958,103
129207,4522,EUW1_7601010941,234
129208,4522,EUW1_7600978205,711
129211,4522,EUW1_7600240504,800
129212,4522,EUW1_7600163367,61
129214,4522,EUW1_7599673129,800
129240,4523,EUW1_7603133613,245
129241,4523,EUW1_7603118212,245
129242,4523,EUW1_7603092716,245
129247,4523,EUW1_7602323841,245
129248,4523,EUW1_7602311098,245
129250,4523,EUW1_7602193223,800
129252,4523,EUW1_7602115127,81
129253,4523,EUW1_7602067941,24
129280,4524,EUW1_7606799496,245
129291,4524,EUW1_7605818873,245
129315,4525,EUW1_7606628245,74
129317,4525,EUW1_7603363434,142
129318,4525,EUW1_7602878991,142
129323,4525,EUW1_7602044088,22
129332,4525,EUW1_7599454716,711
129333,4525,EUW1_7599401467,90
129356,4526,EUW1_7604530400,36
129357,4526,EUW1_7604491507,10
129370,4526,EUW1_7600593106,897
129403,4527,EUW1_7606655449,201
129405,4527,EUW1_7606539629,902
129406,4527,EUW1_7606512874,147
129407,4527,EUW1_7605294047,233
129408,4527,EUW1_7605261507,59
129446,4528,EUW1_7605598291,5
129448,4528,EUW1_7602261834,5
129450,4528,EUW1_7602180500,80
129480,4529,EUW1_7602210251,60
129482,4529,EUW1_7445215415,18
129508,4530,EUW1_7606031015,800
129510,4530,EUW1_7603922695,90
129513,4530,EUW1_7603154005,910
129518,4530,EUW1_7601568579,111
129519,4530,EUW1_7598695513,29
129521,4530,EUW1_7598646081,56
129546,4531,EUW1_7605758213,63
129550,4531,EUW1_7603613778,2
129552,4531,EUW1_7603555141,107
129556,4531,EUW1_7602001722,157
129591,4532,EUW1_7605072492,104
129596,4532,EUW1_7602731326,61
129598,4532,EUW1_7602669393,10
129600,4532,EUW1_7601770823,84
129623,4533,EUW1_7605737359,22
129632,4533,EUW1_7598679802,161
129660,4534,EUW1_7606706396,122
129663,4534,EUW1_7606424601,21
129664,4534,EUW1_7604438047,145
129665,4534,EUW1_7604405008,51
129667,4534,EUW1_7603375711,145
129668,4534,EUW1_7602196154,21
129676,4534,EUW1_7600580095,126
129677,4534,EUW1_7597861034,121
129698,4535,EUW1_7607399912,67
129699,4535,EUW1_7606162344,163
129705,4535,EUW1_7603723223,67
129706,4535,EUW1_7603681558,67
129707,4535,EUW1_7603556438,163
129708,4535,EUW1_7602868835,24
129746,4536,EUW1_7603066535,102
129776,4537,EUW1_7607228399,18
129780,4537,EUW1_7606076399,18
129783,4537,EUW1_7604035563,18
129785,4537,EUW1_7603862411,18
129789,4537,EUW1_7602635677,18
129790,4537,EUW1_7602563324,18
129791,4537,EUW1_7602159431,18
129793,4537,EUW1_7602081973,18
129795,4537,EUW1_7600908108,18
129818,4538,EUW1_7607067425,145
129821,4538,EUW1_7606889367,201
129822,4538,EUW1_7606657571,122
129824,4538,EUW1_7606356147,412
129827,4538,EUW1_7605367842,119
129855,4539,EUW1_7606413235,236
129860,4539,EUW1_7605395813,102
129862,4539,EUW1_7605055113,901
129863,4539,EUW1_7604996571,42
129874,4539,EUW1_7597446488,145
129895,4540,EUW1_7606101273,51
129899,4540,EUW1_7604699179,127
129900,4540,EUW1_7603134328,45
129908,4540,EUW1_7602349579,13
129909,4540,EUW1_7602296224,13
129913,4540,EUW1_7599295848,203
129927,4541,EUW1_7607563339,110
129928,4541,EUW1_7607026266,222
129929,4541,EUW1_7607002823,51
129935,4541,EUW1_7606061019,67
129936,4541,EUW1_7603992764,67
129938,4541,EUW1_7603891003,51
129939,4541,EUW1_7603504242,202
129940,4541,EUW1_7603445495,25
129968,4542,EUW1_7607096100,59
129973,4542,EUW1_7605733963,876
129982,4542,EUW1_7599914134,14
130008,4543,EUW1_7606464143,20
130015,4543,EUW1_7605965659,20
130021,4543,EUW1_7605637486,20
130025,4543,EUW1_7604855391,20
130048,4549,EUW1_7602447526,106
130049,4549,EUW1_7602395594,56
130056,4549,EUW1_7595784870,887
130071,4548,EUW1_7599867871,56
130073,4548,EUW1_7598815226,56
130079,4548,EUW1_7594071878,11
130083,4548,EUW1_7590949230,254
130084,4548,EUW1_7590133933,254
130090,4557,EUW1_7603691983,222
130092,4557,EUW1_7598776905,222
130093,4557,EUW1_7598744276,222
130094,4557,EUW1_7598533804,222
130096,4557,EUW1_7598287858,7
130106,4556,EUW1_7603967990,222
130115,4556,EUW1_7598016411,222
130117,4556,EUW1_7595833848,29
130118,4556,EUW1_7595789915,21
130120,4561,EUW1_7607685499,34
130121,4561,EUW1_7607631383,777
130124,4561,EUW1_7605901309,34
130126,4561,EUW1_7605314816,61
130127,4561,EUW1_7605261709,134
130128,4561,EUW1_7603601388,3
130129,4561,EUW1_7601694792,84
130135,4561,EUW1_7600103756,34
130159,4562,EUW1_7607812734,887
130162,4562,EUW1_7607681873,887
130163,4562,EUW1_7606736671,887
130168,4562,EUW1_7606259534,887
130169,4562,EUW1_7606193888,887
130172,4562,EUW1_7605277898,887
130176,4562,EUW1_7604864474,887
130177,4562,EUW1_7604132138,887
130202,4563,EUW1_7605496294,161
130213,4563,EUW1_7593795547,89
130214,4563,EUW1_7593786565,164
130215,4563,EUW1_7593779612,91
130216,4563,EUW1_7593768599,233
130240,4560,EUW1_7602794214,98
